,tweets,id,len,date,source,likes,retweets,sentiment
39,A nation with so many poor and hungry people does not require a 420 million dollar statue - it needs reforms and me… https://t.co/XXEb7MyLtQ,1057482262072213504,140,2018-10-31 03:59:53,Twitter Web Client,3,2,1
40,"https://t.co/v6NcT7pg6T  

#RaghupatiRaghav #gandhi #mahatmagandhi #music #spirituality #spiritual #MondayMotivation #monday",1056706634892918784,124,2018-10-29 00:37:49,Twitter Web Client,1,0,0
41,We keep slipping down the Hunger &amp; Poverty Indices every year. Yet crores are spent on pointless activities that co… https://t.co/BV8VhAacW0,1056391263765831682,144,2018-10-28 03:44:38,Twitter Web Client,7,4,-1
42,Believe... and do #mahatmagandhi #gandhi #gandhiquotes #quotes #motivation  #inspiration #ThursdayThoughts… https://t.co/P45xSBZLZd,1055436006864883713,131,2018-10-25 12:28:47,Twitter Web Client,2,2,0
43,https://t.co/WXfvGWClHt - A brilliant move on the part of the EU. When will Asia and India follow suit?… https://t.co/N7C3LMgMbg,1055316416520470528,128,2018-10-25 04:33:35,Twitter Web Client,3,1,1
44,https://t.co/Me5xCUVQNk - India has serious hunger &amp; environmental issues. The focus of the government &amp; citizens s… https://t.co/aJSBL7XpA7,1055315861349847041,148,2018-10-25 04:31:22,Twitter Web Client,1,1,-1
45,"Live and Learn - Motivational Quote

#gandhi #MahatmaGandhi #motivation #ThursdayThoughts #ThursdayMotivation… https://t.co/umI0kcCQRS",1055313489181458433,134,2018-10-25 04:21:57,Twitter Web Client,1,1,1
46,"Never forget your roots. 
Never be ashamed of your culture and heritage.

#india #gandhi #mahatmagandhi #motivation… https://t.co/L2ciRprU9s",1054930784442871811,140,2018-10-24 03:01:13,Twitter Web Client,2,0,0
47,"Max Muller on India. 

#india #quote #history #culture #heritage #gandhi #mahatmagandhi #MondayMotivation… https://t.co/Tt7tyRNMEF",1054208167243059200,130,2018-10-22 03:09:47,Twitter Web Client,1,1,0
48,"India is the cradle of the human race, the birthplace of human speech, the mother of history, the grandmother of le… https://t.co/pyhZaZIgAV",1053933492952797184,140,2018-10-21 08:58:20,Twitter Web Client,2,0,0
49,"This is what Will Durant said about India. We need to remember who we are.

#Gandhi #mahatmagandhi #quotes #India… https://t.co/NXO3NB3P1g",1053933175280418816,138,2018-10-21 08:57:04,Twitter Web Client,2,0,0
50,"Every government should strive to ease the lives of it's deprived citizens, not enhance the life of it's blessed on… https://t.co/hd8TaKrdKd",1052812185687285760,140,2018-10-18 06:42:40,Twitter Web Client,5,2,0
51,"Build a future, not statues 

#gandhi #mahatmagandhi #Gandhi150 #future #thoughts #eradicateHunger #WorldPeace… https://t.co/hKdDoSHgA7",1052810745887346693,135,2018-10-18 06:36:56,Twitter Web Client,6,1,0
52,"""Woman is the companion of man, gifted with equal mental capacity"".
Woman and Man are equals. 

#woman #equality… https://t.co/LhFsA1WAee",1052423771297079297,137,2018-10-17 04:59:14,Twitter Web Client,3,1,1
53,Ahimsa #nonviolence #compassion #love #gandhi #MahatmaGandhi https://t.co/Tv53u9mui2,1052078942537084928,84,2018-10-16 06:09:01,Twitter Web Client,2,0,1
54,"Ahimsa - Non-violence and Gentle Living

#peace #love #nonviolence #ahimsa #poem #poetry https://t.co/96dr8x1xvh",1049282569341218816,112,2018-10-08 12:57:13,Twitter Web Client,3,1,1
55,"Our choices determine our future. If we do not protect what we have today, tomorrow, it will not be there anymore.… https://t.co/9ikllvVoSx",1049138908129386496,139,2018-10-08 03:26:22,Twitter Web Client,9,2,0
56,"""There can be no Swaraj where there is no harmony, no music""  

#gandhi #mahatmagandhi #swaraj #music #love… https://t.co/D1FKBzuHJ2",1048758803955638277,132,2018-10-07 02:15:58,Twitter Web Client,11,3,1
57,"https://t.co/vsz2kKbQR8 | Jana Gana Mana instrumental by accomplished artists. 

#gandhi #mahatmagandhi #music #… https://t.co/WuHdLO2o2a",1048758656098062341,137,2018-10-07 02:15:23,Twitter Web Client,2,0,1
58,"Peace between countries must rest on the solid foundation of love between individuals. 

#gandhi #mahatmagandhi… https://t.co/0X3x1oAolD",1048474263471177728,136,2018-10-06 07:25:18,Twitter Web Client,6,1,1
59,"""I shall conquer untruth by truth. And in resisting untruth, I shall put up with all suffering"" 

#gandhi… https://t.co/DGzr8CABi3",1048471493418602501,130,2018-10-06 07:14:18,Twitter Web Client,2,0,0
60,"""The good man is the friend of all living things""

#gandhi #MahatmaGandhi #Saturdaymotivation #thought #inspiration https://t.co/XiiuIl2dwI",1048406607250542592,139,2018-10-06 02:56:28,Twitter Web Client,7,1,1
61,"RT @gandhi: ""Women are not the weaker sex. If non-violence is the law of our being, then the future lies with Women""

#FridayFeeling #gende…",1048141627842338816,140,2018-10-05 09:23:32,Twitter Web Client,0,2,0
62,"""Women are not the weaker sex. If non-violence is the law of our being, then the future lies with Women""… https://t.co/kkIkS9rHSS",1048055761992077312,129,2018-10-05 03:42:20,Twitter Web Client,8,2,0
63,"""For me every ruler is alien that defies public opinion"" 

#FridayFeeling #India #government #ForThePeople #Gandhi… https://t.co/nZRlFBhNGl",1048053265835995137,139,2018-10-05 03:32:25,Twitter Web Client,5,1,-1
64,"""Elect leaders who are committed to building a better future for our kids"" - Tom Steyer

#CleanWater #Water… https://t.co/hIlJtPtRub",1047784306192666624,132,2018-10-04 09:43:40,Twitter Web Client,5,3,1
65,A weak currency is found in nations with poor economic  fundamentals. We truly need some strong economic reforms an… https://t.co/05ygw5ftIh,1047699879349370880,140,2018-10-04 04:08:11,Twitter Web Client,9,5,1
66,"""Peace is the most powerful weapon of mankind"" 

#gandhi #mahatmagandhi #ThursdayThoughts #ThursdayMotivation… https://t.co/0UrHt7msIT",1047694052303486976,134,2018-10-04 03:45:01,Twitter Web Client,7,0,1
67,"""Unjust laws are an act of violence""   

#mahatmagandhi #gandhi #laws #rules #government #india https://t.co/jkCwNr1dhZ",1047457233389412353,119,2018-10-03 12:03:59,Twitter Web Client,21,6,0
68,"""Be the change you want to see in the world"" - #MahatmaGandhi  #Gandhi #India #BetterWorld #WednesdayWisdom… https://t.co/qx6GVD62AF",1047393925646966785,132,2018-10-03 07:52:26,Twitter Web Client,23,8,0
69,We are a nation that has accomplished. And there is nothing we can't accomplish if we are given the resources and t… https://t.co/umhwqdb596,1047385446353915904,140,2018-10-03 07:18:44,Twitter Web Client,12,6,1
70,"""Inflation doesn't destroy the rich, it kills the poor"" 

#RupeeAt73 #WednesdayWisdom #Rupee #Inflation #Economy… https://t.co/sU9bdq7gSU",1047338668824956928,137,2018-10-03 04:12:51,Twitter Web Client,26,9,-1
71,"""True Leaders Always Follow Their Conscience"" 

#MahatmaGandhi  #Bapu #gandhi #wednesdaywisdom #WednesdayMotivation… https://t.co/tLVwn9gUGA",1047335282436198401,140,2018-10-03 03:59:24,Twitter Web Client,13,7,1
72,"""Intolerance is a form of violence"" - #wednesdaythoughts #WednesdayWisdom #gandhi #mahatmagandhi #bapu #wisdom… https://t.co/sruV9yTmys",1047332392439099392,135,2018-10-03 03:47:55,Twitter Web Client,10,1,0
73,"""The future depends on what you do TODAY"" #gandhi #mahatmagandhi #GandhiJayanti #Gandhiquotes #future #today https://t.co/JYfjUNbg24",1047114835085987840,132,2018-10-02 13:23:25,Twitter Web Client,18,2,0
74,"""Understand and embrace your values, for they become your destinies"" #gandhi #MahatmaGandhi #Gandhi150 #destiny… https://t.co/rs4ct0JZN0",1047039604384309249,136,2018-10-02 08:24:29,Twitter Web Client,14,6,0
75,"""What barrier is there, that love can't break""

#Love #peace #friendship #Gandhi #Gandhiat150 #GandhiJayanti… https://t.co/6uAK8lYAaK",1046957586220797952,133,2018-10-02 02:58:34,Twitter Web Client,30,18,1
76,"""The best way to find yourself is to lose yourself in the service of others"" #SevenSocialEvils #nonviolenceday… https://t.co/t8C1fTDVwC",1046948953294626817,135,2018-10-02 02:24:16,Twitter Web Client,46,34,1
77,"""I object to violence"" #nonviolence #nonviolenceday #peace #gandhi #MahatmaGandhi https://t.co/4ZvJleKmDI",1046944630338727936,105,2018-10-02 02:07:05,Twitter Web Client,64,42,0
78,#truth #nonviolence #Nonviolenceday https://t.co/QJQedR3DTk,1046938623155888128,59,2018-10-02 01:43:13,Twitter Web Client,57,32,0
